Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"1½""",17-18 Kgs,2.65 mm,11,Running,January,Week 5,29,31,0.096774,4.261,44.033,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,January,Week 1,1,7,0.225806,0.029,0.128,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,January,Week 2,8,14,0.225806,0.029,0.128,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,January,Week 3,15,21,0.225806,0.029,0.128,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,January,Week 4,22,28,0.225806,0.029,0.128,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,January,Week 5,29,31,0.096774,0.012,0.128,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,January,Week 1,1,7,0.225806,7.39,32.725,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,January,Week 2,8,14,0.225806,7.39,32.725,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,7.39,32.725,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,7.39,32.725,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,3.167,32.725,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,January,Week 1,1,7,0.225806,0.005,0.023,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,January,Week 2,8,14,0.225806,0.005,0.023,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,January,Week 3,15,21,0.225806,0.005,0.023,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,January,Week 4,22,28,0.225806,0.005,0.023,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,January,Week 5,29,31,0.096774,0.002,0.023,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,January,Week 1,1,7,0.225806,33.316,147.541,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,January,Week 2,8,14,0.225806,33.316,147.541,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,January,Week 3,15,21,0.225806,33.316,147.541,calendar_day_share
