Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"2""",29-30 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,21.322,94.426,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,21.322,94.426,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,9.138,94.426,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,July,Week 1,1,7,0.225806,0.935,4.14,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,July,Week 2,8,14,0.225806,0.935,4.14,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,July,Week 3,15,21,0.225806,0.935,4.14,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,July,Week 4,22,28,0.225806,0.935,4.14,calendar_day_share
"2""",32-34 Kgs,4 mm,8,Running,July,Week 5,29,31,0.096774,0.401,4.14,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,July,Week 1,1,7,0.225806,3.756,16.634,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,July,Week 2,8,14,0.225806,3.756,16.634,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,July,Week 3,15,21,0.225806,3.756,16.634,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,July,Week 4,22,28,0.225806,3.756,16.634,calendar_day_share
"2""",32-34 Kgs,5 mm,5,Running,July,Week 5,29,31,0.096774,1.61,16.634,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,July,Week 1,1,7,0.225806,0.242,1.074,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,July,Week 2,8,14,0.225806,0.242,1.074,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,July,Week 3,15,21,0.225806,0.242,1.074,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,July,Week 4,22,28,0.225806,0.242,1.074,calendar_day_share
"2""",9½-10 Kgs,1.2 mm,18,Running,July,Week 5,29,31,0.096774,0.104,1.074,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,July,Week 1,1,7,0.225806,0.016,0.071,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,July,Week 2,8,14,0.225806,0.016,0.071,calendar_day_share
"2""",Unknown,Unknown,Unknown,Unknown,July,Week 3,15,21,0.225806,0.016,0.071,calendar_day_share
